代码,名称,price,change,volume,turnover
600987,航民股份,7.12,2.01,82621.0,58872177.0
603316,诚邦股份,4.58,2.0,83229.0,38602798.0
601827,三峰环境,8.15,2.0,51119.0,41668901.0
300825,阿尔特,11.73,2.0,243753.0,283397762.02
688522,纳睿雷达,49.99,2.0,39804.0,200659150.0
300972,万辰集团,102.8,1.99,42614.0,429362909.72
300506,*ST名家,3.08,1.99,45329.0,14018756.85
000719,中原传媒,11.31,1.98,111378.0,126084800.77
002633,申科股份,10.9,1.96,46660.0,51799333.0
002336,*ST人乐,5.72,1.96,29980.0,17068276.7
600715,*ST文投,2.09,1.95,179605.0,37659317.0
600863,内蒙华电,4.19,1.95,686343.0,286970225.0
002867,周大生,12.59,1.94,67484.0,84952843.92
003816,中国广核,3.69,1.93,1900716.0,700668470.79
601069,西部黄金,12.13,1.93,135126.0,164697433.0
600488,津药药业,4.22,1.93,58093.0,24584425.0
002142,宁波银行,26.38,1.93,310644.0,819290932.77
600113,浙江东日,13.25,1.92,55170.0,74522003.0
301287,康力源,29.15,1.92,9157.0,26735471.0
300108,*ST吉药,1.06,1.92,611280.0,66113150.76
301055,张小泉,15.38,1.92,22214.0,34105932.0
605169,洪通燃气,10.1,1.92,23017.0,23282904.0
300849,锦盛新材,13.86,1.91,64388.0,89378978.0
600012,皖通高速,16.04,1.91,85052.0,136233875.0
600801,华新水泥,12.3,1.91,103354.0,126985349.0
600269,赣粤高速,5.35,1.9,175904.0,94127937.0
603600,永艺股份,12.85,1.9,115292.0,150166878.0
001965,招商公路,12.85,1.9,215962.0,278024117.7
000928,中钢国际,6.44,1.9,206929.0,133791278.42
002749,国光股份,13.96,1.9,24818.0,34722126.93
688098,申联生物,5.37,1.9,21269.0,11458971.0
600319,亚星化学,4.85,1.89,33424.0,16169681.0
601811,新华文轩,15.09,1.89,36870.0,55482186.0
301038,深水规院,17.79,1.89,26351.0,47593371.5
600425,青松建化,3.78,1.89,143889.0,54455590.0
002250,联化科技,5.95,1.88,273075.0,162613296.0
002253,川大智胜,10.82,1.88,258206.0,275963046.57
600585,海螺水泥,24.9,1.88,152531.0,380214332.0
300600,ST瑞科,7.04,1.88,33515.0,23395736.52
300550,和仁科技,14.08,1.88,43194.0,60506524.0
002887,绿茵生态,7.05,1.88,47619.0,33802043.15
301536,星宸科技,81.4,1.88,113090.0,939404745.41
603733,仙鹤股份,21.75,1.87,65617.0,142190285.0
688799,华纳药厂,41.89,1.87,11745.0,48884526.0
688156,路德环境,13.06,1.87,15689.0,20551945.0
603533,掌阅科技,21.24,1.87,239933.0,509082398.0
002110,三钢闽光,3.27,1.87,306379.0,100865068.28
603598,引力传媒,20.78,1.86,603831.0,1256882160.0
605377,华旺科技,12.58,1.86,35161.0,44042795.0
000921,海信家电,31.74,1.86,83732.0,264695115.5
603385,惠达卫浴,6.57,1.86,40850.0,27029534.0
002318,久立特材,24.8,1.85,72103.0,179109445.09
002099,海翔药业,4.96,1.85,103591.0,51560468.0
603559,*ST通脉,7.17,1.85,24042.0,17382061.0
002541,鸿路钢构,16.56,1.85,47675.0,79912157.82
600426,华鲁恒升,20.98,1.84,144526.0,303327211.0
600356,恒丰纸业,7.73,1.84,50743.0,39364968.0
301108,洁雅股份,24.86,1.84,6661.0,16537333.0
